Fondsposition per,"19.Juli2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"GME","GAMESTOP CORP CLASS A","Zyklische Konsumgüter ","Aktien","3.665.745,82","0,09","3.665.745,82","146.806,00","24,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PEN","PENUMBRA INC","Gesundheitsversorgung","Aktien","3.664.870,74","0,09","3.664.870,74","19.302,00","189,87","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CLS","CELESTICA INC","IT","Aktien","3.662.796,90","0,09","3.662.796,90","64.781,00","56,54","Kanada","Toronto Stock Exchange","CAD"
"SNV","SYNOVUS FINANCIAL CORP","Financials","Aktien","3.659.910,21","0,09","3.659.910,21","81.169,00","45,09","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CHX","CHAMPIONX CORP","Energie","Aktien","3.649.991,62","0,09","3.649.991,62","104.018,00","35,09","Vereinigte Staaten","NASDAQ","USD"
"SPXC","SPX TECHNOLOGIES INC","Industrie","Aktien","3.628.926,05","0,09","3.628.926,05","25.015,00","145,07","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OSK","OSHKOSH CORP","Industrie","Aktien","3.625.167,26","0,09","3.625.167,26","33.638,00","107,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CMC","COMMERCIAL METALS","Materialien","Aktien","3.621.772,80","0,09","3.621.772,80","62.878,00","57,60","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TMHC","TAYLOR MORRISON HOME CORP","Zyklische Konsumgüter ","Aktien","3.618.932,60","0,09","3.618.932,60","56.282,00","64,30","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MHK","MOHAWK INDUSTRIES INC","Zyklische Konsumgüter ","Aktien","3.594.280,16","0,09","3.594.280,16","27.854,00","129,04","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CIEN","CIENA CORP","IT","Aktien","3.591.344,46","0,09","3.591.344,46","72.714,00","49,39","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CFR","CULLEN FROST BANKERS INC","Financials","Aktien","3.574.212,88","0,09","3.574.212,88","31.441,00","113,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NXT","NEXTDC LTD","IT","Aktien","3.561.973,66","0,09","3.561.973,66","311.178,00","11,45","Australien","Asx - All Markets","AUD"
"FMC","FMC CORP","Materialien","Aktien","3.557.895,88","0,09","3.557.895,88","61.534,00","57,82","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LAD","LITHIA MOTORS INC","Zyklische Konsumgüter ","Aktien","3.556.880,25","0,09","3.556.880,25","14.025,00","253,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SSB","SOUTHSTATE CORP","Financials","Aktien","3.550.700,78","0,09","3.550.700,78","39.461,00","89,98","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GTLS","CHART INDUSTRIES INC","Industrie","Aktien","3.545.087,46","0,09","3.545.087,46","21.741,00","163,06","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AFRM","AFFIRM HOLDINGS INC CLASS A","Financials","Aktien","3.542.170,80","0,09","3.542.170,80","118.230,00","29,96","Vereinigte Staaten","NASDAQ","USD"
"BRBR","BELLRING BRANDS INC","Nichtzyklische Konsumgüter","Aktien","3.536.129,75","0,09","3.536.129,75","69.815,00","50,65","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BPMC","BLUEPRINT MEDICINES CORP","Gesundheitsversorgung","Aktien","3.525.784,99","0,09","3.525.784,99","30.667,00","114,97","Vereinigte Staaten","NASDAQ","USD"
"MARA","MARATHON DIGITAL HOLDINGS INC","IT","Aktien","3.514.429,76","0,09","3.514.429,76","142.112,00","24,73","Vereinigte Staaten","NASDAQ","USD"
"BERY","BERRY GLOBAL GROUP INC","Materialien","Aktien","3.500.770,14","0,09","3.500.770,14","55.727,00","62,82","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TRNO","TERRENO REALTY REIT CORP","Immobilien","Aktien","3.499.875,90","0,09","3.499.875,90","52.198,00","67,05","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AGCO","AGCO CORP","Industrie","Aktien","3.481.977,81","0,09","3.481.977,81","34.127,00","102,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ITCI","INTRA CELLULAR THERAPIES INC","Gesundheitsversorgung","Aktien","3.467.215,76","0,09","3.467.215,76","46.316,00","74,86","Vereinigte Staaten","NASDAQ","USD"
"BRX","BRIXMOR PROPERTY GROUP REIT INC","Immobilien","Aktien","3.463.805,58","0,09","3.463.805,58","142.134,00","24,37","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MTZ","MASTEC INC","Industrie","Aktien","3.462.680,76","0,09","3.462.680,76","32.934,00","105,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BFAM","BRIGHT HORIZONS FAMILY SOLUTIONS I","Zyklische Konsumgüter ","Aktien","3.454.989,44","0,09","3.454.989,44","29.102,00","118,72","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CMA","COMERICA INC","Financials","Aktien","3.434.459,14","0,09","3.434.459,14","68.117,00","50,42","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MLI","MUELLER INDUSTRIES INC","Industrie","Aktien","3.432.088,75","0,09","3.432.088,75","54.625,00","62,83","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PLNT","PLANET FITNESS INC CLASS A","Zyklische Konsumgüter ","Aktien","3.403.714,50","0,08","3.403.714,50","44.493,00","76,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RL","RALPH LAUREN CORP CLASS A","Zyklische Konsumgüter ","Aktien","3.384.722,25","0,08","3.384.722,25","20.475,00","165,31","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BKT","BANKINTER SA","Financials","Aktien","3.379.012,48","0,08","3.379.012,48","374.199,00","9,03","Spanien","Bolsa De Madrid","EUR"
"AGI","ALAMOS GOLD INC CLASS A","Materialien","Aktien","3.365.670,43","0,08","3.365.670,43","197.318,00","17,06","Kanada","Toronto Stock Exchange","CAD"
"HWDN","HOWDEN JOINERY GROUP PLC","Industrie","Aktien","3.332.477,95","0,08","3.332.477,95","276.233,00","12,06","Vereinigtes Königreich","London Stock Exchange","GBP"
"NSIT","INSIGHT ENTERPRISES INC","IT","Aktien","3.328.587,99","0,08","3.328.587,99","15.603,00","213,33","Vereinigte Staaten","NASDAQ","USD"
"MTH","MERITAGE CORP","Zyklische Konsumgüter ","Aktien","3.326.179,70","0,08","3.326.179,70","17.497,00","190,10","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VTY","VISTRY GROUP PLC","Zyklische Konsumgüter ","Aktien","3.317.205,20","0,08","3.317.205,20","194.560,00","17,05","Vereinigtes Königreich","London Stock Exchange","GBP"
"PB","PROSPERITY BANCSHARES INC","Financials","Aktien","3.310.125,28","0,08","3.310.125,28","48.664,00","68,02","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HR","HEALTHCARE REALTY TRUST INC CLASS","Immobilien","Aktien","3.308.600,16","0,08","3.308.600,16","189.496,00","17,46","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KD","KYNDRYL HOLDINGS INC","IT","Aktien","3.306.990,72","0,08","3.306.990,72","121.224,00","27,28","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MIDD","MIDDLEBY CORP","Industrie","Aktien","3.305.257,20","0,08","3.305.257,20","26.040,00","126,93","Vereinigte Staaten","NASDAQ","USD"
"NVMI","NOVA LTD","IT","Aktien","3.304.214,01","0,08","3.304.214,01","16.057,00","205,78","Israel","Tel Aviv Stock Exchange","ILS"
"GXO","GXO LOGISTICS INC","Industrie","Aktien","3.300.103,70","0,08","3.300.103,70","60.955,00","54,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMG","AFFILIATED MANAGERS GROUP INC","Financials","Aktien","3.299.013,36","0,08","3.299.013,36","19.644,00","167,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ARW","ARROW ELECTRONICS INC","IT","Aktien","3.298.453,47","0,08","3.298.453,47","27.021,00","122,07","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6361","EBARA CORP","Industrie","Aktien","3.296.778,21","0,08","3.296.778,21","228.200,00","14,45","Japan","Tokyo Stock Exchange","JPY"
"RMBS","RAMBUS INC","IT","Aktien","3.291.536,60","0,08","3.291.536,60","56.780,00","57,97","Vereinigte Staaten","NASDAQ","USD"
"ESNT","ESSENT GROUP LTD","Financials","Aktien","3.286.641,00","0,08","3.286.641,00","54.235,00","60,60","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GTLB","GITLAB INC CLASS A","IT","Aktien","3.286.733,78","0,08","3.286.733,78","61.354,00","53,57","Vereinigte Staaten","NASDAQ","USD"
"GKOS","GLAUKOS CORP","Gesundheitsversorgung","Aktien","3.286.512,06","0,08","3.286.512,06","27.222,00","120,73","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LEA","LEAR CORP","Zyklische Konsumgüter ","Aktien","3.278.354,22","0,08","3.278.354,22","27.738,00","118,19","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CWST","CASELLA WASTE SYSTEMS INC CLASS A","Industrie","Aktien","3.275.005,79","0,08","3.275.005,79","30.841,00","106,19","Vereinigte Staaten","NASDAQ","USD"
"WEIR","WEIR GROUP PLC","Industrie","Aktien","3.275.174,26","0,08","3.275.174,26","132.410,00","24,74","Vereinigtes Königreich","London Stock Exchange","GBP"
"WH","WYNDHAM HOTELS RESORTS INC","Zyklische Konsumgüter ","Aktien","3.273.696,65","0,08","3.273.696,65","44.329,00","73,85","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BBD.B","BOMBARDIER INC CLASS B","Industrie","Aktien","3.269.099,55","0,08","3.269.099,55","46.824,00","69,82","Kanada","Toronto Stock Exchange","CAD"
"OLLI","OLLIES BARGAIN OUTLET HOLDINGS INC","Zyklische Konsumgüter ","Aktien","3.261.842,00","0,08","3.261.842,00","32.440,00","100,55","Vereinigte Staaten","NASDAQ","USD"
"RHI","ROBERT HALF","Industrie","Aktien","3.260.633,61","0,08","3.260.633,61","49.471,00","65,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AA","ALCOA CORP","Materialien","Aktien","3.245.429,88","0,08","3.245.429,88","92.939,00","34,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IBP","INSTALLED BUILDING PRODUCTS INC","Zyklische Konsumgüter ","Aktien","3.238.390,02","0,08","3.238.390,02","13.463,00","240,54","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MTN","VAIL RESORTS INC","Zyklische Konsumgüter ","Aktien","3.238.370,90","0,08","3.238.370,90","17.965,00","180,26","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IONS","IONIS PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","3.234.927,36","0,08","3.234.927,36","67.648,00","47,82","Vereinigte Staaten","NASDAQ","USD"
"SAIC","SCIENCE APPLICATIONS INTERNATIONAL","Industrie","Aktien","3.229.964,40","0,08","3.229.964,40","26.716,00","120,90","Vereinigte Staaten","NASDAQ","USD"
"KBH","KB HOME","Zyklische Konsumgüter ","Aktien","3.224.320,00","0,08","3.224.320,00","40.304,00","80,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AAON","AAON INC","Industrie","Aktien","3.207.999,06","0,08","3.207.999,06","36.899,00","86,94","Vereinigte Staaten","NASDAQ","USD"
"WTFC","WINTRUST FINANCIAL CORP","Financials","Aktien","3.204.685,30","0,08","3.204.685,30","30.515,00","105,02","Vereinigte Staaten","NASDAQ","USD"
"ESI","ELEMENT SOLUTIONS INC","Materialien","Aktien","3.202.252,90","0,08","3.202.252,90","118.822,00","26,95","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PVH","PVH CORP","Zyklische Konsumgüter ","Aktien","3.196.734,14","0,08","3.196.734,14","31.783,00","100,58","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BECN","BEACON ROOFING SUPPLY INC","Industrie","Aktien","3.196.397,88","0,08","3.196.397,88","33.007,00","96,84","Vereinigte Staaten","NASDAQ","USD"
"PCOR","PROCORE TECHNOLOGIES INC","IT","Aktien","3.194.373,00","0,08","3.194.373,00","46.804,00","68,25","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EXEL","EXELIXIS INC","Gesundheitsversorgung","Aktien","3.191.526,80","0,08","3.191.526,80","141.218,00","22,60","Vereinigte Staaten","NASDAQ","USD"
"JAZZ","JAZZ PHARMACEUTICALS PLC","Gesundheitsversorgung","Aktien","3.182.873,98","0,08","3.182.873,98","29.198,00","109,01","Vereinigte Staaten","NASDAQ","USD"
"SM","SM ENERGY","Energie","Aktien","3.173.366,25","0,08","3.173.366,25","68.025,00","46,65","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SITE","SITEONE LANDSCAPE SUPPLY INC","Industrie","Aktien","3.173.016,16","0,08","3.173.016,16","23.476,00","135,16","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SMAR","SMARTSHEET INC CLASS A","IT","Aktien","3.171.880,36","0,08","3.171.880,36","65.684,00","48,29","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ELAN","ELANCO ANIMAL HEALTH INC","Gesundheitsversorgung","Aktien","3.169.391,52","0,08","3.169.391,52","249.166,00","12,72","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"R","RYDER SYSTEM INC","Industrie","Aktien","3.169.245,76","0,08","3.169.245,76","23.984,00","132,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"1911","SUMITOMO FORESTRY LTD","Zyklische Konsumgüter ","Aktien","3.164.009,28","0,08","3.164.009,28","78.100,00","40,51","Japan","Tokyo Stock Exchange","JPY"
"FSS","FEDERAL SIGNAL CORP","Industrie","Aktien","3.145.164,12","0,08","3.145.164,12","34.194,00","91,98","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CIGI","COLLIERS INTERNATIONAL GROUP SUBOR","Immobilien","Aktien","3.143.544,49","0,08","3.143.544,49","24.077,00","130,56","Kanada","Toronto Stock Exchange","CAD"
"MTSI","MACOM TECHNOLOGY SOLUTIONS INC","IT","Aktien","3.138.422,73","0,08","3.138.422,73","30.099,00","104,27","Vereinigte Staaten","NASDAQ","USD"
"VNT","VONTIER CORP","IT","Aktien","3.136.672,50","0,08","3.136.672,50","78.910,00","39,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LSTR","LANDSTAR SYSTEM INC","Industrie","Aktien","3.135.728,00","0,08","3.135.728,00","17.042,00","184,00","Vereinigte Staaten","NASDAQ","USD"
"HQY","HEALTHEQUITY INC","Gesundheitsversorgung","Aktien","3.131.344,74","0,08","3.131.344,74","42.673,00","73,38","Vereinigte Staaten","NASDAQ","USD"
"NXT","NEXTRACKER INC CLASS A","Industrie","Aktien","3.130.809,76","0,08","3.130.809,76","65.416,00","47,86","Vereinigte Staaten","NASDAQ","USD"
"NOVT","NOVANTA INC","IT","Aktien","3.126.726,23","0,08","3.126.726,23","18.127,00","172,49","Vereinigte Staaten","NASDAQ","USD"
"AZEK","AZEK COMPANY INC CLASS A","Industrie","Aktien","3.124.498,00","0,08","3.124.498,00","70.690,00","44,20","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MTG","MGIC INVESTMENT CORP","Financials","Aktien","3.122.753,40","0,08","3.122.753,40","133.451,00","23,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ACHC","ACADIA HEALTHCARE COMPANY INC","Gesundheitsversorgung","Aktien","3.113.344,80","0,08","3.113.344,80","47.780,00","65,16","Vereinigte Staaten","NASDAQ","USD"
"CRS","CARPENTER TECHNOLOGY CORP","Materialien","Aktien","3.108.329,64","0,08","3.108.329,64","26.046,00","119,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"S","SENTINELONE INC CLASS A","IT","Aktien","3.099.009,60","0,08","3.099.009,60","142.680,00","21,72","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LFUS","LITTELFUSE INC","IT","Aktien","3.092.559,48","0,08","3.092.559,48","11.916,00","259,53","Vereinigte Staaten","NASDAQ","USD"
"VVV","VALVOLINE INC","Zyklische Konsumgüter ","Aktien","3.085.871,10","0,08","3.085.871,10","67.055,00","46,02","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BRKR","BRUKER CORP","Gesundheitsversorgung","Aktien","3.079.832,07","0,08","3.079.832,07","49.763,00","61,89","Vereinigte Staaten","NASDAQ","USD"
"COKE","COCA COLA CONSOLIDATED INC","Nichtzyklische Konsumgüter","Aktien","3.073.050,50","0,08","3.073.050,50","2.831,00","1.085,50","Vereinigte Staaten","NASDAQ","USD"
"GF","GEORG FISCHER AG","Industrie","Aktien","3.063.198,19","0,08","3.063.198,19","42.495,00","72,08","Schweiz","SIX Swiss Exchange","CHF"
"OLN","OLIN CORP","Materialien","Aktien","3.063.019,37","0,08","3.063.019,37","63.667,00","48,11","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BPE","BPER BANCA","Financials","Aktien","3.060.524,49","0,08","3.060.524,49","533.485,00","5,74","Italien","Borsa Italiana","EUR"
"MUR","MURPHY OIL CORP","Energie","Aktien","3.058.802,18","0,08","3.058.802,18","73.423,00","41,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MAT","MATTEL INC","Zyklische Konsumgüter ","Aktien","3.032.965,02","0,08","3.032.965,02","186.874,00","16,23","Vereinigte Staaten","NASDAQ","USD"
"BG","BAWAG GROUP AG","Financials","Aktien","3.017.985,78","0,08","3.017.985,78","41.737,00","72,31","Österreich","Wiener Boerse Ag","EUR"
"BMI","BADGER METER INC","IT","Aktien","3.014.659,20","0,08","3.014.659,20","15.820,00","190,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FAF","FIRST AMERICAN FINANCIAL CORP","Financials","Aktien","3.014.505,54","0,08","3.014.505,54","52.317,00","57,62","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MGY","MAGNOLIA OIL GAS CORP CLASS A","Energie","Aktien","3.014.678,40","0,08","3.014.678,40","112.488,00","26,80","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LPX","LOUISIANA PACIFIC CORP","Materialien","Aktien","3.004.157,94","0,07","3.004.157,94","33.747,00","89,02","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Industrie","Aktien","2.987.028,32","0,07","2.987.028,32","15.212,00","196,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BC","BRUNSWICK CORP","Zyklische Konsumgüter ","Aktien","2.985.115,20","0,07","2.985.115,20","38.310,00","77,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"COOP","MR COOPER GROUP INC","Financials","Aktien","2.984.947,16","0,07","2.984.947,16","33.916,00","88,01","Vereinigte Staaten","NASDAQ","USD"
"CAST","CASTELLUM","Immobilien","Aktien","2.978.515,78","0,07","2.978.515,78","231.805,00","12,85","Schweden","Nasdaq Omx Nordic","SEK"
"7013","IHI CORP","Industrie","Aktien","2.968.125,34","0,07","2.968.125,34","82.000,00","36,20","Japan","Tokyo Stock Exchange","JPY"
"BME","B&M EUROPEAN VALUE RETAIL SA","Zyklische Konsumgüter ","Aktien","2.954.619,07","0,07","2.954.619,07","499.340,00","5,92","Vereinigtes Königreich","London Stock Exchange","GBP"
"TKR","TIMKEN","Industrie","Aktien","2.949.721,00","0,07","2.949.721,00","35.326,00","83,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LMP","LONDONMETRIC PROPERTY REIT PLC","Immobilien","Aktien","2.948.584,87","0,07","2.948.584,87","1.136.855,00","2,59","Vereinigtes Königreich","London Stock Exchange","GBP"
"NXST","NEXSTAR MEDIA GROUP INC","Kommunikation","Aktien","2.948.495,81","0,07","2.948.495,81","16.813,00","175,37","Vereinigte Staaten","NASDAQ","USD"
"7012","KAWASAKI HEAVY INDUSTRIES LTD","Industrie","Aktien","2.944.421,14","0,07","2.944.421,14","74.300,00","39,63","Japan","Tokyo Stock Exchange","JPY"
"RMV","RIGHTMOVE PLC","Kommunikation","Aktien","2.936.158,97","0,07","2.936.158,97","397.271,00","7,39","Vereinigtes Königreich","London Stock Exchange","GBP"
"IMI","IMI PLC","Industrie","Aktien","2.930.132,02","0,07","2.930.132,02","124.781,00","23,48","Vereinigtes Königreich","London Stock Exchange","GBP"
"APPF","APPFOLIO INC CLASS A","IT","Aktien","2.925.308,44","0,07","2.925.308,44","11.122,00","263,02","Vereinigte Staaten","NASDAQ","USD"
"ESAB","ESAB CORP","Industrie","Aktien","2.920.590,82","0,07","2.920.590,82","29.869,00","97,78","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CYTK","CYTOKINETICS INC","Gesundheitsversorgung","Aktien","2.919.838,01","0,07","2.919.838,01","51.761,00","56,41","Vereinigte Staaten","NASDAQ","USD"
"ONB","OLD NATIONAL BANCORP","Financials","Aktien","2.918.741,04","0,07","2.918.741,04","150.141,00","19,44","Vereinigte Staaten","NASDAQ","USD"
"RHP","RYMAN HOSPITALITY PROPERTIES REIT","Immobilien","Aktien","2.909.801,40","0,07","2.909.801,40","28.380,00","102,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"STWD","STARWOOD PROPERTY TRUST REIT INC","Financials","Aktien","2.909.981,47","0,07","2.909.981,47","143.561,00","20,27","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DBX","DROPBOX INC CLASS A","IT","Aktien","2.908.334,16","0,07","2.908.334,16","125.793,00","23,12","Vereinigte Staaten","NASDAQ","USD"
